"REF_DATE","GEO","DGUID","Educational attainment level","Labour force and education status","Age group","Sex","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Newfoundland and Labrador","2021A000210","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925154","3.1.5.1.1.1","41","","","","0"
"2014","Newfoundland and Labrador","2021A000210","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925154","3.1.5.1.1.1","40","","","","0"
"2015","Newfoundland and Labrador","2021A000210","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925154","3.1.5.1.1.1","38","","","","0"
"2016","Newfoundland and Labrador","2021A000210","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925154","3.1.5.1.1.1","40","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925154","3.1.5.1.1.1","36","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925154","3.1.5.1.1.1","37","","","","0"
"2019","Newfoundland and Labrador","2021A000210","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925154","3.1.5.1.1.1","38","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925154","3.1.5.1.1.1","40","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925154","3.1.5.1.1.1","37","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925154","3.1.5.1.1.1","39","","","","0"
"2004","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","24","","","","0"
"2005","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","19","","","","0"
"2006","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","23","","","","0"
"2007","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","18","","","","0"
"2008","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","19","","","","0"
"2009","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","23","","","","0"
"2010","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","21","","","","0"
"2011","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","18","","","","0"
"2012","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","20","","","","0"
"2013","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","16","","","","0"
"2014","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","17","","","","0"
"2015","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","17","","","","0"
"2016","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","18","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","21","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","17","","","","0"
"2019","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","17","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","19","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","18","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247925190","3.1.6.1.1.1","17","","","","0"
"2004","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2005","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2006","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2007","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2008","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2009","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2010","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2011","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2012","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2013","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2014","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2015","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2016","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2017","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2018","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2019","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2020","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2021","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2022","Prince Edward Island","2021A000211","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926162","4.1.1.1.1.1","100","","","","0"
"2004","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","45","","","","0"
"2005","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","44","","","","0"
"2006","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","43","","","","0"
"2007","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","45","","","","0"
"2008","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","47","","","","0"
"2009","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","44","","","","0"
"2010","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","47","","","","0"
"2011","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","45","","","","0"
"2012","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","48","","","","0"
"2013","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","46","","","","0"
"2014","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","48","","","","0"
"2015","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","45","","","","0"
"2016","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","43","","","","0"
"2017","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","42","","","","0"
"2018","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","46","","","","0"
"2019","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","44","","","","0"
"2020","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","40","","","","0"
"2021","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","42","","","","0"
"2022","Prince Edward Island","2021A000211","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926198","4.1.2.1.1.1","44","","","","0"
"2004","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","15","","","","0"
"2005","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","16","","","","0"
"2006","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","17","","","","0"
"2007","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","19","","","","0"
"2008","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","21","","","","0"
"2009","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","16","","","","0"
"2010","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","19","","","","0"
"2011","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","18","","","","0"
"2012","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","18","","","","0"
"2013","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","20","","","","0"
"2014","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","20","","","","0"
"2015","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","16","","","","0"
"2016","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","18","","","","0"
"2017","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","21","","","","0"
"2018","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","17","","","","0"
"2019","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","16","","","","0"
"2020","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","15","","","","0"
"2021","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","12","","","","0"
"2022","Prince Edward Island","2021A000211","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926234","4.1.3.1.1.1","14","","","","0"
"2004","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","55","","","","0"
"2005","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","56","","","","0"
"2006","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","57","","","","0"
"2007","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","55","","","","0"
"2008","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","53","","","","0"
"2009","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","56","","","","0"
"2010","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","53","","","","0"
"2011","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","55","","","","0"
"2012","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","52","","","","0"
"2013","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","54","","","","0"
"2014","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","52","","","","0"
"2015","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","55","","","","0"
"2016","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","57","","","","0"
"2017","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","58","","","","0"
"2018","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","54","","","","0"
"2019","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","56","","","","0"
"2020","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","60","","","","0"
"2021","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","58","","","","0"
"2022","Prince Edward Island","2021A000211","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926270","4.1.4.1.1.1","56","","","","0"
"2004","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","39","","","","0"
"2005","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","39","","","","0"
"2006","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","40","","","","0"
"2007","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","41","","","","0"
"2008","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","39","","","","0"
"2009","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","42","","","","0"
"2010","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","39","","","","0"
"2011","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","41","","","","0"
"2012","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","40","","","","0"
"2013","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","38","","","","0"
"2014","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","39","","","","0"
"2015","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","41","","","","0"
"2016","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","42","","","","0"
"2017","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","41","","","","0"
"2018","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","41","","","","0"
"2019","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","44","","","","0"
"2020","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","47","","","","0"
"2021","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","46","","","","0"
"2022","Prince Edward Island","2021A000211","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926306","4.1.5.1.1.1","46","","","","0"
"2004","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","17","","","","0"
"2005","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","17","","","","0"
"2006","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","17","","","","0"
"2007","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","14","","","","0"
"2008","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","15","","","","0"
"2009","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","15","","","","0"
"2010","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","14","","","","0"
"2011","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","13","","","","0"
"2012","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","13","","","","0"
"2013","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","16","","","","0"
"2014","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","13","","","","0"
"2015","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","14","","","","0"
"2016","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","14","","","","0"
"2017","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","17","","","","0"
"2018","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","13","","","","0"
"2019","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","12","","","","0"
"2020","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","13","","","","0"
"2021","Prince Edward Island","2021A000211","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247926342","4.1.6.1.1.1","13","","","","0"
