year,location,education_level,status,value
2022,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2004,Prince Edward Island,"Total, all education levels","Total, in education",45.0
2005,Prince Edward Island,"Total, all education levels","Total, in education",44.0
2006,Prince Edward Island,"Total, all education levels","Total, in education",43.0
2007,Prince Edward Island,"Total, all education levels","Total, in education",45.0
2008,Prince Edward Island,"Total, all education levels","Total, in education",47.0
2009,Prince Edward Island,"Total, all education levels","Total, in education",44.0
2010,Prince Edward Island,"Total, all education levels","Total, in education",47.0
2011,Prince Edward Island,"Total, all education levels","Total, in education",45.0
2012,Prince Edward Island,"Total, all education levels","Total, in education",48.0
2013,Prince Edward Island,"Total, all education levels","Total, in education",46.0
2014,Prince Edward Island,"Total, all education levels","Total, in education",48.0
2015,Prince Edward Island,"Total, all education levels","Total, in education",45.0
2016,Prince Edward Island,"Total, all education levels","Total, in education",43.0
2017,Prince Edward Island,"Total, all education levels","Total, in education",42.0
2018,Prince Edward Island,"Total, all education levels","Total, in education",46.0
2019,Prince Edward Island,"Total, all education levels","Total, in education",44.0
2020,Prince Edward Island,"Total, all education levels","Total, in education",40.0
2021,Prince Edward Island,"Total, all education levels","Total, in education",42.0
2022,Prince Edward Island,"Total, all education levels","Total, in education",44.0
2004,Prince Edward Island,"Total, all education levels","Employed, in education",15.0
2005,Prince Edward Island,"Total, all education levels","Employed, in education",16.0
2006,Prince Edward Island,"Total, all education levels","Employed, in education",17.0
2007,Prince Edward Island,"Total, all education levels","Employed, in education",19.0
2008,Prince Edward Island,"Total, all education levels","Employed, in education",21.0
2009,Prince Edward Island,"Total, all education levels","Employed, in education",16.0
2010,Prince Edward Island,"Total, all education levels","Employed, in education",19.0
2011,Prince Edward Island,"Total, all education levels","Employed, in education",18.0
2012,Prince Edward Island,"Total, all education levels","Employed, in education",18.0
2013,Prince Edward Island,"Total, all education levels","Employed, in education",20.0
2014,Prince Edward Island,"Total, all education levels","Employed, in education",20.0
2015,Prince Edward Island,"Total, all education levels","Employed, in education",16.0
2016,Prince Edward Island,"Total, all education levels","Employed, in education",18.0
2017,Prince Edward Island,"Total, all education levels","Employed, in education",21.0
2018,Prince Edward Island,"Total, all education levels","Employed, in education",17.0
2019,Prince Edward Island,"Total, all education levels","Employed, in education",16.0
2020,Prince Edward Island,"Total, all education levels","Employed, in education",15.0
2021,Prince Edward Island,"Total, all education levels","Employed, in education",12.0
2022,Prince Edward Island,"Total, all education levels","Employed, in education",14.0
2004,Prince Edward Island,"Total, all education levels","Total, not in education",55.0
2005,Prince Edward Island,"Total, all education levels","Total, not in education",56.0
2006,Prince Edward Island,"Total, all education levels","Total, not in education",57.0
2007,Prince Edward Island,"Total, all education levels","Total, not in education",55.0
2008,Prince Edward Island,"Total, all education levels","Total, not in education",53.0
2009,Prince Edward Island,"Total, all education levels","Total, not in education",56.0
2010,Prince Edward Island,"Total, all education levels","Total, not in education",53.0
2011,Prince Edward Island,"Total, all education levels","Total, not in education",55.0
2012,Prince Edward Island,"Total, all education levels","Total, not in education",52.0
2013,Prince Edward Island,"Total, all education levels","Total, not in education",54.0
2014,Prince Edward Island,"Total, all education levels","Total, not in education",52.0
2015,Prince Edward Island,"Total, all education levels","Total, not in education",55.0
2016,Prince Edward Island,"Total, all education levels","Total, not in education",57.0
2017,Prince Edward Island,"Total, all education levels","Total, not in education",58.0
2018,Prince Edward Island,"Total, all education levels","Total, not in education",54.0
2019,Prince Edward Island,"Total, all education levels","Total, not in education",56.0
2020,Prince Edward Island,"Total, all education levels","Total, not in education",60.0
2021,Prince Edward Island,"Total, all education levels","Total, not in education",58.0
2022,Prince Edward Island,"Total, all education levels","Total, not in education",56.0
2004,Prince Edward Island,"Total, all education levels","Employed, not in education",39.0
2005,Prince Edward Island,"Total, all education levels","Employed, not in education",39.0
2006,Prince Edward Island,"Total, all education levels","Employed, not in education",40.0
2007,Prince Edward Island,"Total, all education levels","Employed, not in education",41.0
2008,Prince Edward Island,"Total, all education levels","Employed, not in education",39.0
2009,Prince Edward Island,"Total, all education levels","Employed, not in education",42.0
2010,Prince Edward Island,"Total, all education levels","Employed, not in education",39.0
2011,Prince Edward Island,"Total, all education levels","Employed, not in education",41.0
2012,Prince Edward Island,"Total, all education levels","Employed, not in education",40.0
2013,Prince Edward Island,"Total, all education levels","Employed, not in education",38.0
2014,Prince Edward Island,"Total, all education levels","Employed, not in education",39.0
2015,Prince Edward Island,"Total, all education levels","Employed, not in education",41.0
2016,Prince Edward Island,"Total, all education levels","Employed, not in education",42.0
2017,Prince Edward Island,"Total, all education levels","Employed, not in education",41.0
2018,Prince Edward Island,"Total, all education levels","Employed, not in education",41.0
2019,Prince Edward Island,"Total, all education levels","Employed, not in education",44.0
2020,Prince Edward Island,"Total, all education levels","Employed, not in education",47.0
2021,Prince Edward Island,"Total, all education levels","Employed, not in education",46.0
2022,Prince Edward Island,"Total, all education levels","Employed, not in education",46.0
2004,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2005,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2006,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2007,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2008,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2009,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2010,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2011,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2012,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2013,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",16.0
2014,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2015,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2016,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2017,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2018,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2019,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2020,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2021,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2022,Prince Edward Island,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",10.0
2004,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2005,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2006,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2007,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2008,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2009,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2010,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2011,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2012,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2013,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2014,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2015,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2016,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2017,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2018,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2019,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2020,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2021,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2022,Nova Scotia,"Total, all education levels","Total, in education and not in education",100.0
2004,Nova Scotia,"Total, all education levels","Total, in education",46.0
2005,Nova Scotia,"Total, all education levels","Total, in education",43.0
2006,Nova Scotia,"Total, all education levels","Total, in education",45.0
2007,Nova Scotia,"Total, all education levels","Total, in education",45.0
2008,Nova Scotia,"Total, all education levels","Total, in education",42.0
2009,Nova Scotia,"Total, all education levels","Total, in education",41.0
2010,Nova Scotia,"Total, all education levels","Total, in education",43.0
2011,Nova Scotia,"Total, all education levels","Total, in education",42.0
2012,Nova Scotia,"Total, all education levels","Total, in education",45.0
2013,Nova Scotia,"Total, all education levels","Total, in education",44.0
2014,Nova Scotia,"Total, all education levels","Total, in education",45.0
2015,Nova Scotia,"Total, all education levels","Total, in education",42.0
2016,Nova Scotia,"Total, all education levels","Total, in education",42.0
2017,Nova Scotia,"Total, all education levels","Total, in education",44.0
2018,Nova Scotia,"Total, all education levels","Total, in education",44.0
2019,Nova Scotia,"Total, all education levels","Total, in education",44.0
2020,Nova Scotia,"Total, all education levels","Total, in education",41.0
2021,Nova Scotia,"Total, all education levels","Total, in education",40.0
2022,Nova Scotia,"Total, all education levels","Total, in education",41.0
2004,Nova Scotia,"Total, all education levels","Employed, in education",17.0
2005,Nova Scotia,"Total, all education levels","Employed, in education",17.0
2006,Nova Scotia,"Total, all education levels","Employed, in education",19.0
2007,Nova Scotia,"Total, all education levels","Employed, in education",20.0
2008,Nova Scotia,"Total, all education levels","Employed, in education",17.0
2009,Nova Scotia,"Total, all education levels","Employed, in education",17.0
2010,Nova Scotia,"Total, all education levels","Employed, in education",18.0
2011,Nova Scotia,"Total, all education levels","Employed, in education",16.0
2012,Nova Scotia,"Total, all education levels","Employed, in education",19.0
2013,Nova Scotia,"Total, all education levels","Employed, in education",17.0
2014,Nova Scotia,"Total, all education levels","Employed, in education",17.0
2015,Nova Scotia,"Total, all education levels","Employed, in education",16.0
2016,Nova Scotia,"Total, all education levels","Employed, in education",16.0
2017,Nova Scotia,"Total, all education levels","Employed, in education",18.0
2018,Nova Scotia,"Total, all education levels","Employed, in education",17.0
2019,Nova Scotia,"Total, all education levels","Employed, in education",19.0
2020,Nova Scotia,"Total, all education levels","Employed, in education",18.0
2021,Nova Scotia,"Total, all education levels","Employed, in education",18.0
2022,Nova Scotia,"Total, all education levels","Employed, in education",18.0
2004,Nova Scotia,"Total, all education levels","Total, not in education",54.0
2005,Nova Scotia,"Total, all education levels","Total, not in education",57.0
2006,Nova Scotia,"Total, all education levels","Total, not in education",55.0
2007,Nova Scotia,"Total, all education levels","Total, not in education",55.0
2008,Nova Scotia,"Total, all education levels","Total, not in education",58.0
2009,Nova Scotia,"Total, all education levels","Total, not in education",59.0
2010,Nova Scotia,"Total, all education levels","Total, not in education",57.0
2011,Nova Scotia,"Total, all education levels","Total, not in education",58.0
2012,Nova Scotia,"Total, all education levels","Total, not in education",55.0
2013,Nova Scotia,"Total, all education levels","Total, not in education",56.0
2014,Nova Scotia,"Total, all education levels","Total, not in education",55.0
2015,Nova Scotia,"Total, all education levels","Total, not in education",58.0
2016,Nova Scotia,"Total, all education levels","Total, not in education",58.0
2017,Nova Scotia,"Total, all education levels","Total, not in education",56.0
2018,Nova Scotia,"Total, all education levels","Total, not in education",56.0
2019,Nova Scotia,"Total, all education levels","Total, not in education",56.0
2020,Nova Scotia,"Total, all education levels","Total, not in education",59.0
2021,Nova Scotia,"Total, all education levels","Total, not in education",60.0
2022,Nova Scotia,"Total, all education levels","Total, not in education",59.0
2004,Nova Scotia,"Total, all education levels","Employed, not in education",40.0
2005,Nova Scotia,"Total, all education levels","Employed, not in education",41.0
2006,Nova Scotia,"Total, all education levels","Employed, not in education",41.0
2007,Nova Scotia,"Total, all education levels","Employed, not in education",41.0
2008,Nova Scotia,"Total, all education levels","Employed, not in education",43.0
2009,Nova Scotia,"Total, all education levels","Employed, not in education",42.0
2010,Nova Scotia,"Total, all education levels","Employed, not in education",43.0
2011,Nova Scotia,"Total, all education levels","Employed, not in education",42.0
2012,Nova Scotia,"Total, all education levels","Employed, not in education",39.0
2013,Nova Scotia,"Total, all education levels","Employed, not in education",41.0
2014,Nova Scotia,"Total, all education levels","Employed, not in education",41.0
2015,Nova Scotia,"Total, all education levels","Employed, not in education",45.0
2016,Nova Scotia,"Total, all education levels","Employed, not in education",44.0
2017,Nova Scotia,"Total, all education levels","Employed, not in education",42.0
2018,Nova Scotia,"Total, all education levels","Employed, not in education",44.0
2019,Nova Scotia,"Total, all education levels","Employed, not in education",43.0
2020,Nova Scotia,"Total, all education levels","Employed, not in education",43.0
2021,Nova Scotia,"Total, all education levels","Employed, not in education",46.0
2022,Nova Scotia,"Total, all education levels","Employed, not in education",47.0
2004,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2005,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",16.0
2006,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2007,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2008,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2009,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2010,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2011,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",16.0
2012,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",16.0
2013,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",16.0
2014,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2015,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2016,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2017,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2018,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2019,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2020,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",16.0
2021,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2022,Nova Scotia,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2004,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2005,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2006,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2007,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2008,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2009,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2010,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2011,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2012,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2013,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2014,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2015,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2016,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2017,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2018,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2019,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2020,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2021,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2022,New Brunswick,"Total, all education levels","Total, in education and not in education",100.0
2004,New Brunswick,"Total, all education levels","Total, in education",41.0
2005,New Brunswick,"Total, all education levels","Total, in education",42.0
2006,New Brunswick,"Total, all education levels","Total, in education",42.0
2007,New Brunswick,"Total, all education levels","Total, in education",45.0
2008,New Brunswick,"Total, all education levels","Total, in education",42.0
2009,New Brunswick,"Total, all education levels","Total, in education",40.0
2010,New Brunswick,"Total, all education levels","Total, in education",42.0
2011,New Brunswick,"Total, all education levels","Total, in education",41.0
2012,New Brunswick,"Total, all education levels","Total, in education",42.0
2013,New Brunswick,"Total, all education levels","Total, in education",42.0
2014,New Brunswick,"Total, all education levels","Total, in education",41.0
2015,New Brunswick,"Total, all education levels","Total, in education",41.0
2016,New Brunswick,"Total, all education levels","Total, in education",41.0
2017,New Brunswick,"Total, all education levels","Total, in education",40.0
2018,New Brunswick,"Total, all education levels","Total, in education",39.0
2019,New Brunswick,"Total, all education levels","Total, in education",40.0
2020,New Brunswick,"Total, all education levels","Total, in education",37.0
2021,New Brunswick,"Total, all education levels","Total, in education",41.0
2022,New Brunswick,"Total, all education levels","Total, in education",39.0
2004,New Brunswick,"Total, all education levels","Employed, in education",15.0
2005,New Brunswick,"Total, all education levels","Employed, in education",14.0
2006,New Brunswick,"Total, all education levels","Employed, in education",15.0
2007,New Brunswick,"Total, all education levels","Employed, in education",17.0
2008,New Brunswick,"Total, all education levels","Employed, in education",17.0
2009,New Brunswick,"Total, all education levels","Employed, in education",17.0
2010,New Brunswick,"Total, all education levels","Employed, in education",15.0
2011,New Brunswick,"Total, all education levels","Employed, in education",14.0
2012,New Brunswick,"Total, all education levels","Employed, in education",13.0
2013,New Brunswick,"Total, all education levels","Employed, in education",13.0
2014,New Brunswick,"Total, all education levels","Employed, in education",14.0
2015,New Brunswick,"Total, all education levels","Employed, in education",15.0
2016,New Brunswick,"Total, all education levels","Employed, in education",14.0
2017,New Brunswick,"Total, all education levels","Employed, in education",14.0
2018,New Brunswick,"Total, all education levels","Employed, in education",15.0
2019,New Brunswick,"Total, all education levels","Employed, in education",16.0
2020,New Brunswick,"Total, all education levels","Employed, in education",13.0
2021,New Brunswick,"Total, all education levels","Employed, in education",18.0
2022,New Brunswick,"Total, all education levels","Employed, in education",13.0
2004,New Brunswick,"Total, all education levels","Total, not in education",59.0
2005,New Brunswick,"Total, all education levels","Total, not in education",58.0
2006,New Brunswick,"Total, all education levels","Total, not in education",58.0
2007,New Brunswick,"Total, all education levels","Total, not in education",55.0
2008,New Brunswick,"Total, all education levels","Total, not in education",58.0
2009,New Brunswick,"Total, all education levels","Total, not in education",60.0
2010,New Brunswick,"Total, all education levels","Total, not in education",58.0
2011,New Brunswick,"Total, all education levels","Total, not in education",59.0
2012,New Brunswick,"Total, all education levels","Total, not in education",58.0
2013,New Brunswick,"Total, all education levels","Total, not in education",58.0
2014,New Brunswick,"Total, all education levels","Total, not in education",59.0
2015,New Brunswick,"Total, all education levels","Total, not in education",59.0
2016,New Brunswick,"Total, all education levels","Total, not in education",59.0
2017,New Brunswick,"Total, all education levels","Total, not in education",60.0
2018,New Brunswick,"Total, all education levels","Total, not in education",61.0
2019,New Brunswick,"Total, all education levels","Total, not in education",60.0
2020,New Brunswick,"Total, all education levels","Total, not in education",63.0
2021,New Brunswick,"Total, all education levels","Total, not in education",59.0
2022,New Brunswick,"Total, all education levels","Total, not in education",61.0
2004,New Brunswick,"Total, all education levels","Employed, not in education",42.0
2005,New Brunswick,"Total, all education levels","Employed, not in education",42.0
2006,New Brunswick,"Total, all education levels","Employed, not in education",44.0
2007,New Brunswick,"Total, all education levels","Employed, not in education",42.0
2008,New Brunswick,"Total, all education levels","Employed, not in education",43.0
2009,New Brunswick,"Total, all education levels","Employed, not in education",45.0
2010,New Brunswick,"Total, all education levels","Employed, not in education",43.0
2011,New Brunswick,"Total, all education levels","Employed, not in education",42.0
2012,New Brunswick,"Total, all education levels","Employed, not in education",42.0
2013,New Brunswick,"Total, all education levels","Employed, not in education",41.0
2014,New Brunswick,"Total, all education levels","Employed, not in education",44.0
2015,New Brunswick,"Total, all education levels","Employed, not in education",44.0
2016,New Brunswick,"Total, all education levels","Employed, not in education",43.0
2017,New Brunswick,"Total, all education levels","Employed, not in education",44.0
2018,New Brunswick,"Total, all education levels","Employed, not in education",46.0
2019,New Brunswick,"Total, all education levels","Employed, not in education",46.0
2020,New Brunswick,"Total, all education levels","Employed, not in education",47.0
2021,New Brunswick,"Total, all education levels","Employed, not in education",45.0
2022,New Brunswick,"Total, all education levels","Employed, not in education",46.0
2004,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2005,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2006,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2007,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2008,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2009,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2010,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2011,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2012,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",16.0
2013,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2014,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2015,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",16.0
2016,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",16.0
2017,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",16.0
2018,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2019,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2020,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2021,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2022,New Brunswick,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2004,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2005,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2006,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2007,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2008,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2009,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2010,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2011,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2012,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2013,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2014,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2015,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2016,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2017,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2018,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2019,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2020,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2021,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2022,Quebec,"Total, all education levels","Total, in education and not in education",100.0
2004,Quebec,"Total, all education levels","Total, in education",41.0
2005,Quebec,"Total, all education levels","Total, in education",42.0
2006,Quebec,"Total, all education levels","Total, in education",42.0
2007,Quebec,"Total, all education levels","Total, in education",43.0
2008,Quebec,"Total, all education levels","Total, in education",43.0
2009,Quebec,"Total, all education levels","Total, in education",44.0
2010,Quebec,"Total, all education levels","Total, in education",45.0
2011,Quebec,"Total, all education levels","Total, in education",45.0
2012,Quebec,"Total, all education levels","Total, in education",47.0
2013,Quebec,"Total, all education levels","Total, in education",45.0
2014,Quebec,"Total, all education levels","Total, in education",45.0
2015,Quebec,"Total, all education levels","Total, in education",47.0
2016,Quebec,"Total, all education levels","Total, in education",45.0
2017,Quebec,"Total, all education levels","Total, in education",48.0
2018,Quebec,"Total, all education levels","Total, in education",45.0
2019,Quebec,"Total, all education levels","Total, in education",46.0
2020,Quebec,"Total, all education levels","Total, in education",42.0
2021,Quebec,"Total, all education levels","Total, in education",46.0
2022,Quebec,"Total, all education levels","Total, in education",46.0
2004,Quebec,"Total, all education levels","Employed, in education",17.0
2005,Quebec,"Total, all education levels","Employed, in education",18.0
2006,Quebec,"Total, all education levels","Employed, in education",18.0
2007,Quebec,"Total, all education levels","Employed, in education",20.0
2008,Quebec,"Total, all education levels","Employed, in education",21.0
2009,Quebec,"Total, all education levels","Employed, in education",20.0
2010,Quebec,"Total, all education levels","Employed, in education",21.0
2011,Quebec,"Total, all education levels","Employed, in education",21.0
2012,Quebec,"Total, all education levels","Employed, in education",21.0
2013,Quebec,"Total, all education levels","Employed, in education",22.0
2014,Quebec,"Total, all education levels","Employed, in education",22.0
2015,Quebec,"Total, all education levels","Employed, in education",23.0
2016,Quebec,"Total, all education levels","Employed, in education",22.0
2017,Quebec,"Total, all education levels","Employed, in education",24.0
2018,Quebec,"Total, all education levels","Employed, in education",23.0
2019,Quebec,"Total, all education levels","Employed, in education",24.0
2020,Quebec,"Total, all education levels","Employed, in education",22.0
2021,Quebec,"Total, all education levels","Employed, in education",22.0
2022,Quebec,"Total, all education levels","Employed, in education",24.0
2004,Quebec,"Total, all education levels","Total, not in education",59.0
2005,Quebec,"Total, all education levels","Total, not in education",58.0
2006,Quebec,"Total, all education levels","Total, not in education",58.0
2007,Quebec,"Total, all education levels","Total, not in education",57.0
2008,Quebec,"Total, all education levels","Total, not in education",57.0
2009,Quebec,"Total, all education levels","Total, not in education",56.0
2010,Quebec,"Total, all education levels","Total, not in education",55.0
2011,Quebec,"Total, all education levels","Total, not in education",55.0
2012,Quebec,"Total, all education levels","Total, not in education",53.0
2013,Quebec,"Total, all education levels","Total, not in education",55.0
2014,Quebec,"Total, all education levels","Total, not in education",55.0
2015,Quebec,"Total, all education levels","Total, not in education",53.0
2016,Quebec,"Total, all education levels","Total, not in education",55.0
2017,Quebec,"Total, all education levels","Total, not in education",52.0
2018,Quebec,"Total, all education levels","Total, not in education",55.0
2019,Quebec,"Total, all education levels","Total, not in education",54.0
2020,Quebec,"Total, all education levels","Total, not in education",58.0
2021,Quebec,"Total, all education levels","Total, not in education",54.0
2022,Quebec,"Total, all education levels","Total, not in education",54.0
2004,Quebec,"Total, all education levels","Employed, not in education",44.0
2005,Quebec,"Total, all education levels","Employed, not in education",44.0
2006,Quebec,"Total, all education levels","Employed, not in education",45.0
2007,Quebec,"Total, all education levels","Employed, not in education",44.0
2008,Quebec,"Total, all education levels","Employed, not in education",43.0
2009,Quebec,"Total, all education levels","Employed, not in education",42.0
2010,Quebec,"Total, all education levels","Employed, not in education",41.0
2011,Quebec,"Total, all education levels","Employed, not in education",42.0
2012,Quebec,"Total, all education levels","Employed, not in education",40.0
2013,Quebec,"Total, all education levels","Employed, not in education",42.0
2014,Quebec,"Total, all education levels","Employed, not in education",40.0
2015,Quebec,"Total, all education levels","Employed, not in education",40.0
2016,Quebec,"Total, all education levels","Employed, not in education",42.0
2017,Quebec,"Total, all education levels","Employed, not in education",42.0
2018,Quebec,"Total, all education levels","Employed, not in education",45.0
2019,Quebec,"Total, all education levels","Employed, not in education",45.0
2020,Quebec,"Total, all education levels","Employed, not in education",46.0
2021,Quebec,"Total, all education levels","Employed, not in education",42.0
2022,Quebec,"Total, all education levels","Employed, not in education",44.0
2004,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2005,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2006,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2007,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2008,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2009,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2010,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2011,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2012,Quebec,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
